patch_id,centre_lat,centre_lon,num_agn,num_psr
214,24.62431835216408,67.5,14,0
215,24.62431835216408,78.75,9,0
216,24.62431835216408,90.0,11,1
217,24.62431835216408,101.25,17,0
218,24.62431835216408,112.5,8,0
219,24.62431835216408,123.75,15,0
220,24.62431835216408,135.0,9,0
221,24.62431835216408,146.25,10,0
222,24.62431835216408,157.5,13,0
223,24.62431835216408,168.75,17,0
224,24.62431835216408,-180.0,8,0
225,24.62431835216408,-168.75,12,0
226,24.62431835216408,-157.5,8,0
227,24.62431835216408,-146.25,8,0
228,24.62431835216408,-135.0,12,0
229,24.62431835216408,-123.75,10,0
230,24.62431835216408,-112.5,10,0
231,24.62431835216408,-101.25,10,0
232,24.62431835216408,-90.0,17,0
233,24.62431835216408,-78.75000000000006,8,0
234,24.62431835216408,-67.5,12,0
235,24.62431835216408,-56.25,8,0
236,24.62431835216408,-45.0,11,0
237,24.62431835216408,-33.75000000000006,10,0
238,24.62431835216408,-22.5,12,0
239,24.62431835216408,-11.25,10,0
240,19.47122063449069,5.625,5,0
241,19.47122063449069,16.875,3,0
242,19.47122063449069,28.125,8,0
243,19.47122063449069,39.375,9,1
244,19.47122063449069,50.625,12,0
245,19.47122063449069,61.875,17,0
246,19.47122063449069,73.125,7,0
247,19.47122063449069,84.375,9,0
248,19.47122063449069,95.625,16,0
249,19.47122063449069,106.875,14,0
250,19.47122063449069,118.125,10,0
251,19.47122063449069,129.375,10,0
252,19.47122063449069,140.625,8,0
253,19.47122063449069,151.875,8,0
254,19.47122063449069,163.125,9,0
255,19.47122063449069,174.375,11,0
256,19.47122063449069,-174.375,10,0
257,19.47122063449069,-163.125,9,0
258,19.47122063449069,-151.875,13,0
259,19.47122063449069,-140.625,10,0
260,19.47122063449069,-129.37500000000006,14,0
261,19.47122063449069,-118.125,6,0
262,19.47122063449069,-106.875,10,0
263,19.47122063449069,-95.625,11,0
264,19.47122063449069,-84.375,8,0
265,19.47122063449069,-73.12500000000006,8,0
266,19.47122063449069,-61.875,8,0
267,19.47122063449069,-50.625,9,0
268,19.47122063449069,-39.375,11,0
269,19.47122063449069,-28.125,11,0
270,19.47122063449069,-16.875,14,0
271,19.47122063449069,-5.625,6,0
272,14.477512185929925,0.0,7,2
273,14.477512185929925,11.25,2,0
274,14.477512185929925,22.5,6,0
275,14.477512185929925,33.75,6,0
276,14.477512185929925,45.0,11,0
277,14.477512185929925,56.25,9,0
278,14.477512185929925,67.5,10,0
279,14.477512185929925,78.75,1,0
280,14.477512185929925,90.0,7,0
281,14.477512185929925,101.25,11,0
282,14.477512185929925,112.5,9,0
283,14.477512185929925,123.75,10,1
284,14.477512185929925,135.0,5,0
285,14.477512185929925,146.25,13,0
286,14.477512185929925,157.5,9,0
287,14.477512185929925,168.75,11,0
288,14.477512185929925,-180.0,7,1
289,14.477512185929925,-168.75,10,0
290,14.477512185929925,-157.5,10,0
291,14.477512185929925,-146.25,10,0
292,14.477512185929925,-135.0,14,0
293,14.477512185929925,-123.75,9,0
294,14.477512185929925,-112.5,10,0
295,14.477512185929925,-101.25,7,0
296,14.477512185929925,-90.0,3,0
297,14.477512185929925,-78.75000000000006,11,0
298,14.477512185929925,-67.5,7,0
299,14.477512185929925,-56.25,7,1
300,14.477512185929925,-45.0,4,0
301,14.477512185929925,-33.75000000000006,14,0
302,14.477512185929925,-22.5,6,0
303,14.477512185929925,-11.25,7,0
304,9.594068226860458,5.625,6,3
305,9.594068226860458,16.875,6,0
306,9.594068226860458,28.125,3,0
307,9.594068226860458,39.375,7,1
308,9.594068226860458,50.625,5,0
309,9.594068226860458,61.875,5,0
310,9.594068226860458,73.125,7,0
311,9.594068226860458,84.375,5,1
312,9.594068226860458,95.625,4,0
313,9.594068226860458,106.875,7,0
314,9.594068226860458,118.125,8,1
315,9.594068226860458,129.375,12,0
316,9.594068226860458,140.625,9,0
317,9.594068226860458,151.875,12,0
318,9.594068226860458,163.125,2,0
319,9.594068226860458,174.375,8,1
320,9.594068226860458,-174.375,10,0
321,9.594068226860458,-163.125,10,1
322,9.594068226860458,-151.875,5,0
323,9.594068226860458,-140.625,10,0
324,9.594068226860458,-129.37500000000006,13,0
325,9.594068226860458,-118.125,9,0
326,9.594068226860458,-106.875,7,0
327,9.594068226860458,-95.625,5,0
328,9.594068226860458,-84.375,6,0
329,9.594068226860458,-73.12500000000006,13,1
330,9.594068226860458,-61.875,6,1
331,9.594068226860458,-50.625,6,0
332,9.594068226860458,-39.375,7,0
333,9.594068226860458,-28.125,7,0
334,9.594068226860458,-16.875,8,1
335,9.594068226860458,-5.625,4,0
336,4.780191847199163,0.0,4,2
337,4.780191847199163,11.25,6,2
338,4.780191847199163,22.5,2,4
339,4.780191847199163,33.75,3,0
340,4.780191847199163,45.0,6,3
341,4.780191847199163,56.25,3,4
342,4.780191847199163,67.5,1,2
