RA,DEC,GLON,Variability_Index,Signif,Unc_Energy_Flux100,Spectral_Index,Flux,Signif_Curv,hr12,hr23,hr34,hr45,pulsarness
6.12,46.8,118.14,3.5307422,4.115,-28.36802,2.7393348,0.0,-1.8821591,-0.602575,-0.42597058,-0.1328336,0.024379201,Non-Pulsar
6.14,-8.18,103.12,4.1001716,3.985,-28.61317,2.6370428,0.0,0.82214737,-0.36903384,-0.010240103,-0.76650286,1.1884824,Non-Pulsar
6.2,3.83,110.18,4.68393,5.278,-28.595537,2.4535725,0.0,-0.85749143,0.9963365,-0.258533,-0.22333367,-0.056734424,Non-Pulsar
6.3,-22.53,69.2,2.2737932,3.578,-28.999186,2.1473312,0.0,-1.6348245,0.83229154,-0.883793,0.8102344,0.46805164,Non-Pulsar
6.44,-48.02,314.72,4.6066885,13.456,-28.40307,2.0337107,0.0,0.8293854,0.940581,0.051692523,-0.0926179,-0.47676146,Non-Pulsar
6.65,-46.02,315.92,0.0,13.242,0.0,1.9971744,1.0,0.0,0.20611237,-0.07165223,0.043263253,0.16324516,Non-Pulsar
7.04,75.1,121.4,2.306295,12.069,-28.47937,1.9541454,0.0,1.1272414,-0.18029019,0.30010074,-0.053828083,-0.37250555,Non-Pulsar
7.13,20.02,115.61,8.878791,89.213,-27.727962,2.095452,0.0,2.2776685,0.030051854,-0.08436785,-0.21656609,-0.4446446,Non-Pulsar
7.22,-1.2,110.2,2.932977,4.079,-28.856459,2.110465,0.0,-1.6645066,-0.30685934,-0.42433923,0.28813887,0.52067536,Non-Pulsar
7.23,35.89,117.82,2.8833075,11.37,-28.65463,2.183843,0.0,-0.55207264,-0.09217617,-0.2604714,0.2951157,-0.059214067,Non-Pulsar
7.25,-70.74,305.6,4.1530914,19.135,-28.65608,2.3062565,0.0,-0.15613693,-0.32457936,-0.08050173,-0.011747247,-1.7262273,Non-Pulsar
7.37,20.87,116.05,3.0804381,9.746,-28.852692,1.592214,0.0,1.1415633,-0.9936135,0.9994309,0.5086328,0.11684736,Non-Pulsar
